TestFunction,DrawMethod,dim,nPoints,log2n,shift,baker,rDrawn,mean,var,skew,kurt,MSE[A_r],MSE[M_r],datfile
IndSumNormal,Lat,8,256,8,rqmc,False,19,1.935544354303352e-05,0.000183780388031,0.0233209928517601,2.995444192431897,9.672652001631894e-06,1.6119068956019865e-05,IndSumNormal-8-Lat-RS-8-10000.dat
IndSumNormal,Lat,8,256,8,rqmc,False,23,1.935544354303352e-05,0.000183780388031,0.0233209928517601,2.995444192431897,7.990451653521999e-06,1.3480230851653651e-05,IndSumNormal-8-Lat-RS-8-10000.dat
IndSumNormal,Lat,8,256,8,rqmc,False,27,1.935544354303352e-05,0.000183780388031,0.0233209928517601,2.995444192431897,6.806681038185407e-06,1.1598667696963316e-05,IndSumNormal-8-Lat-RS-8-10000.dat
IndSumNormal,Lat,8,256,8,rqmc,False,31,1.935544354303352e-05,0.000183780388031,0.0233209928517601,2.995444192431897,5.928399613903419e-06,1.016978007654656e-05,IndSumNormal-8-Lat-RS-8-10000.dat
IndSumNormal,Lat,8,256,8,rqmc,True,7,-0.0002349414314569,0.0001825089819335,0.0900987553220473,3.0495412433167832,2.6072711704799136e-05,3.920086735958032e-05,IndSumNormal-8-Lat-RSB-8-10000.dat
IndSumNormal,Lat,8,256,8,rqmc,True,11,-0.0002349414314569,0.0001825089819335,0.0900987553220473,3.0495412433167832,1.6591725630326724e-05,2.6115378951691227e-05,IndSumNormal-8-Lat-RSB-8-10000.dat
IndSumNormal,Lat,8,256,8,rqmc,True,15,-0.0002349414314569,0.0001825089819335,0.0900987553220473,3.0495412433167832,1.2167265462239597e-05,2.008585345293527e-05,IndSumNormal-8-Lat-RSB-8-10000.dat
IndSumNormal,Lat,8,256,8,rqmc,True,19,-0.0002349414314569,0.0001825089819335,0.0900987553220473,3.0495412433167832,9.605735891241788e-06,1.6144707000535112e-05,IndSumNormal-8-Lat-RSB-8-10000.dat
IndSumNormal,Lat,8,256,8,rqmc,True,23,-0.0002349414314569,0.0001825089819335,0.0900987553220473,3.0495412433167832,7.935173127547564e-06,1.3375674391931786e-05,IndSumNormal-8-Lat-RSB-8-10000.dat
IndSumNormal,Lat,8,256,8,rqmc,True,27,-0.0002349414314569,0.0001825089819335,0.0900987553220473,3.0495412433167832,6.759591923466443e-06,1.1514512542999925e-05,IndSumNormal-8-Lat-RSB-8-10000.dat
IndSumNormal,Lat,8,256,8,rqmc,True,31,-0.0002349414314569,0.0001825089819335,0.0900987553220473,3.0495412433167832,5.887386513986902e-06,1.0273408112241433e-05,IndSumNormal-8-Lat-RSB-8-10000.dat
IndSumNormal,Lat,8,1024,10,rqmc,False,7,2.0039037293169037e-05,3.678219580650332e-05,0.0526537176593738,2.927324940142961,5.254599400929046e-06,7.744006145626386e-06,IndSumNormal-8-Lat-RS-10-10000.dat
IndSumNormal,Lat,8,1024,10,rqmc,False,11,2.0039037293169037e-05,3.678219580650332e-05,0.0526537176593738,2.927324940142961,3.343835982409393e-06,5.024770512790458e-06,IndSumNormal-8-Lat-RS-10-10000.dat
IndSumNormal,Lat,8,1024,10,rqmc,False,15,2.0039037293169037e-05,3.678219580650332e-05,0.0526537176593738,2.927324940142961,2.4521463871002214e-06,3.7646424620566695e-06,IndSumNormal-8-Lat-RS-10-10000.dat
IndSumNormal,Lat,8,1024,10,rqmc,False,19,2.0039037293169037e-05,3.678219580650332e-05,0.0526537176593738,2.927324940142961,1.9359050424475432e-06,2.919227525513442e-06,IndSumNormal-8-Lat-RS-10-10000.dat
IndSumNormal,Lat,8,1024,10,rqmc,False,23,2.0039037293169037e-05,3.678219580650332e-05,0.0526537176593738,2.927324940142961,1.5992259046305792e-06,2.4939669786189084e-06,IndSumNormal-8-Lat-RS-10-10000.dat
IndSumNormal,Lat,8,1024,10,rqmc,False,27,2.0039037293169037e-05,3.678219580650332e-05,0.0526537176593738,2.927324940142961,1.362303548389012e-06,2.080340731158746e-06,IndSumNormal-8-Lat-RS-10-10000.dat
IndSumNormal,Lat,8,1024,10,rqmc,False,31,2.0039037293169037e-05,3.678219580650332e-05,0.0526537176593738,2.927324940142961,1.186522445371075e-06,1.834624800254487e-06,IndSumNormal-8-Lat-RS-10-10000.dat
