TestFunction,DrawMethod,dim,nPoints,log2n,shift,baker,rDrawn,mean,var,skew,kurt,MeanOfMeans,MedianOfMeans,LeeValiant,MinskerNdaoud(3),MinskerNdaoud(2),MinskerNdaoud(3;1.0)
IndSumNormal,Lat,4,65536,16,rqmc,True,23,-3.0932869772756484e-06,1.2730290554456175e-07,0.08580661570015058,2.911035628593906,5.490731324207383e-09,9.098218655679703e-09,9.713370975394096e-09,6.714286165944787e-09,6.0062333641480625e-09,5.868824327534318e-09
IndSumNormal,Lat,4,65536,16,rqmc,True,23,-1.005884622037863e-06,5.744313843542969e-08,0.08319415753374518,2.967874609319737,2.4656327752344693e-09,3.790377319447682e-09,4.036393553724891e-09,2.9785152641490463e-09,2.6751338711650637e-09,2.606925157320359e-09
IndSumNormal,Lat,4,65536,16,rqmc,True,27,-3.0932869772756484e-06,1.2730290554456175e-07,0.08580661570015058,2.911035628593906,4.749335092596646e-09,7.683403346173635e-09,8.238751104130833e-09,5.723581579698363e-09,5.120882212054827e-09,5.051660135729907e-09
IndSumNormal,Lat,4,65536,16,rqmc,True,27,-1.005884622037863e-06,5.744313843542969e-08,0.08319415753374518,2.967874609319737,2.106487966288852e-09,3.244580890075677e-09,3.4630750775675005e-09,2.4544604921527828e-09,2.2588249820751837e-09,2.1973755431202966e-09
IndSumNormal,Lat,4,65536,16,rqmc,True,31,-1.005884622037863e-06,5.744313843542969e-08,0.08319415753374518,2.967874609319737,1.8446913082268275e-09,2.8014308023090314e-09,2.9935574253489116e-09,2.138244156011776e-09,1.9626618257782348e-09,1.928427306826158e-09
IndSumNormal,Lat,4,65536,16,rqmc,True,31,-3.0932869772756484e-06,1.2730290554456175e-07,0.08580661570015058,2.911035628593906,4.1519665935187874e-09,6.916368800447898e-09,7.391895956725205e-09,4.837237022057341e-09,4.443804085802399e-09,4.357932411481305e-09
IndSumNormal,Lat,8,64,6,rqmc,True,11,-0.0002458789314570602,0.0008580324121093752,0.0926517330443332,2.9458121240522455,7.820003520781488e-05,0.00013774748832582798,0.000137623105606638,0.00012130660019536356,9.354028016689466e-05,9.581249142335983e-05
IndSumNormal,Lat,8,64,6,rqmc,True,11,-3.494143145705806e-05,0.001015402126464844,0.0871740765893931,3.0028561060602135,9.159956153443308e-05,0.00015596083647855154,0.00015630732445158138,0.00013821110332895245,0.00010886644892197457,0.00011018262154325638
IndSumNormal,Lat,8,64,6,rqmc,True,15,-0.0002458789314570602,0.0008580324121093752,0.0926517330443332,2.9458121240522455,5.7612616822198356e-05,0.00010521083066800202,0.00010280115634354965,7.847230233894269e-05,6.586791027396201e-05,6.431586956883549e-05
IndSumNormal,Lat,8,64,6,rqmc,True,15,-3.494143145705806e-05,0.001015402126464844,0.0871740765893931,3.0028561060602135,6.854231057513567e-05,0.00012290408147162064,0.00012108489888672908,9.132679873390695e-05,7.781181081205253e-05,7.54570014974711e-05
IndSumNormal,Lat,8,64,6,rqmc,True,19,-3.494143145705806e-05,0.001015402126464844,0.0871740765893931,3.0028561060602135,5.3002159902653535e-05,9.94271917630145e-05,9.648038991968981e-05,6.766274075731302e-05,5.8615133351911186e-05,5.741861299021836e-05
IndSumNormal,Lat,8,64,6,rqmc,True,19,-0.0002458789314570602,0.0008580324121093752,0.0926517330443332,2.9458121240522455,4.495752722988955e-05,8.647038346632674e-05,8.276638905901925e-05,5.7811323730097274e-05,4.981273466066707e-05,4.9076579065716644e-05
IndSumNormal,Lat,8,64,6,rqmc,True,23,-3.494143145705806e-05,0.001015402126464844,0.0871740765893931,3.0028561060602135,4.351495822798115e-05,8.657629961741331e-05,8.253859866159443e-05,5.2619829925588877e-05,4.789279795540661e-05,4.6094825782294923e-05
IndSumNormal,Lat,8,64,6,rqmc,True,23,-0.0002458789314570602,0.0008580324121093752,0.0926517330443332,2.9458121240522455,3.720622823571466e-05,7.440005502914024e-05,6.999776933750921e-05,4.627155513986226e-05,4.104770098913973e-05,4.006636039936006e-05
IndSumNormal,Lat,8,64,6,rqmc,True,27,-0.0002458789314570602,0.0008580324121093752,0.0926517330443332,2.9458121240522455,3.1769640546116054e-05,6.60340055378996e-05,6.118001584499893e-05,3.792514227354078e-05,3.4390277487093356e-05,3.36603756900598e-05
IndSumNormal,Lat,8,64,6,rqmc,True,27,-3.494143145705806e-05,0.001015402126464844,0.0871740765893931,3.0028561060602135,3.7152617527403486e-05,7.37738924510195e-05,6.98865702314688e-05,4.3608506545642725e-05,3.995775251799245e-05,3.889823949126794e-05
IndSumNormal,Lat,8,64,6,rqmc,True,31,-3.494143145705806e-05,0.001015402126464844,0.0871740765893931,3.0028561060602135,3.2085524785311366e-05,6.712009942084048e-05,6.235259827428075e-05,3.720134200323199e-05,3.427991306997633e-05,3.355389604920673e-05
IndSumNormal,Lat,8,64,6,rqmc,True,31,-0.0002458789314570602,0.0008580324121093752,0.0926517330443332,2.9458121240522455,2.778074872405041e-05,5.7515419723257636e-05,5.315023858624666e-05,3.261186668558932e-05,2.9496074557395634e-05,2.92573577621976e-05
IndSumNormal,Lat,8,256,8,rqmc,True,7,-0.00023494143145693004,0.00018250898193359396,0.09009875532204738,3.0495412433167832,2.6047147453270493e-05,3.9200867359580315e-05,4.0945180505863717e-05,4.787909120747936e-05,3.3865013519440614e-05,3.709622411764029e-05
IndSumNormal,Lat,8,256,8,rqmc,True,11,-0.00023494143145693004,0.00018250898193359396,0.09009875532204738,3.0495412433167832,1.6582709825576587e-05,2.6115378951691227e-05,2.717306252508962e-05,2.566347047415446e-05,1.9761561883428134e-05,2.008553093059734e-05
IndSumNormal,Lat,8,256,8,rqmc,True,11,1.9355443543033522e-05,0.000183780388031006,0.023320992851760144,2.9954441924318975,1.69276019084225e-05,2.5937859468006373e-05,2.6856998435844152e-05,2.5194620561420304e-05,1.9532434992824725e-05,1.9952411015489626e-05
IndSumNormal,Lat,8,256,8,rqmc,True,15,-0.00023494143145693004,0.00018250898193359396,0.09009875532204738,3.0495412433167832,1.2315768730558508e-05,2.008585345293527e-05,2.075793027423434e-05,1.670000282592202e-05,1.4051984338500639e-05,1.3707894990491421e-05
